lifecycle_id,buyer,category,incumbent,supplier_company_id,contract_start,original_end,maximum_option_end,extensions,replacement_incumbent,replacement_confirmed_date,lead_time_days,classification,evidence_count,record_ids
שירות בתי הסוהר::cleaning::512540014::2020-11-02,שירות בתי הסוהר,cleaning,"טריידאנט שרותי מסחר אלקטרוני בע""מ",512540014,2021-01-01,2021-12-31,2021-12-31,0,"קבוצת אלון בע""מ",2023-12-15,714.0,A,1,4000522899
"בי""ח שמיר (אסף הרופא)::cleaning::512410218::2025-11-30","בי""ח שמיר (אסף הרופא)",cleaning,"ביו פרמקס גרופ (1996) בע""מ",512410218,2026-01-01,2031-12-31,2031-12-31,0,,,,C,1,4000610370
"בית החולים איכילוב - ת""א::cleaning::512138702::2010-12-05","בית החולים איכילוב - ת""א",cleaning,"ארטיס מולטימדיה בע""מ",512138702,2010-12-05,,,0,"סימנס אנרגיה בע""מ",2010-12-15,10.0,D,1,517879
"המרכז הרפואי שיבא תה""ש::cleaning::520036450::2011-01-13","המרכז הרפואי שיבא תה""ש",cleaning,"החברה לשירותי איכות הסביבה בע""מ",520036450,2011-01-13,,,0,"רותם, תעשיות בעמ",2011-01-23,10.0,D,1,519403
רשות מקרקעי ישראל::cleaning::513890137::2018-01-11,רשות מקרקעי ישראל,cleaning,"ר.ע. אופק בע""מ",513890137,2018-03-01,2018-12-31,2018-12-31,0,"טווס שמירה אבטחה ושרותי ניקיון בע""מ",2020-01-20,385.0,A,2,610595;619809
"המרכז הרפואי פדה, פוריה::cleaning::513259838::2010-08-10","המרכז הרפואי פדה, פוריה",cleaning,ישומי הנדסה,513259838,2010-09-07,2011-12-31,2011-12-31,0,,,,C,2,514717;515574
משטרת ישראל::cleaning::511691388::2010-01-04,משטרת ישראל,cleaning,"אדוורדס ישראל ואקום בע""מ",511691388,2010-01-04,,,0,"רניום ציוד למעבדות מחקר בע""מ",2010-01-13,9.0,D,1,509652
משרד החינוך::cleaning::510625486::2011-09-08,משרד החינוך,cleaning,"אלקטרה י.ב. אחזקת מערכות בע""מ",510625486,2011-10-01,2011-12-31,2022-01-31,9,"אדגר השקעות ופיתוח בע""מ",2021-11-17,-75.0,A,10,525032;527538;550098;561763;606250;609102;610518;4000525318;4000534048;4000542707
משרד התחבורה::cleaning::511526071::2017-12-12,משרד התחבורה,cleaning,"א.מ שירותים מוניציפליים בע""מ",511526071,2017-12-15,2018-04-30,2018-04-30,1,,,,B,1,608545
הנהלת בתי משפט::cleaning::38411336::2011-12-29,הנהלת בתי משפט,cleaning,עוקבי נתנאל,38411336,2012-01-01,2012-12-31,2012-12-31,1,"א.מ שירותים מוניציפליים בע""מ",2012-07-17,-167.0,A,1,528628
משרד החוץ::cleaning::BEIJING HONG DA WAN LONG TRADE::2018-05-22,משרד החוץ,cleaning,BEIJING HONG DA WAN LONG TRADE,,2018-05-17,2018-12-31,2018-12-31,0,STARPLUS,2020-12-22,722.0,A,1,616499
הנהלת בתי משפט::cleaning::511526071::2012-07-17,הנהלת בתי משפט,cleaning,"א.מ שירותים מוניציפליים בע""מ",511526071,2012-07-17,2012-07-31,2012-07-31,1,"טי אנד אם שירותי ניקיון בע""מ",2013-12-03,490.0,A,1,533714
המרכז הרפואי וולפסון::cleaning::557652914::2011-02-17,המרכז הרפואי וולפסון,cleaning,אפקון,557652914,2011-02-17,,,0,"סמל ספקים מאוחדים לישראל בע""מ",2011-03-24,35.0,D,1,520340
"המרכז הרפואי פדה, פוריה::cleaning::510449507::2009-08-25","המרכז הרפואי פדה, פוריה",cleaning,"תדיראן פתרונות אנרגיה בע""מ",510449507,2009-08-25,,,0,נירוסופט סחר (1987),2010-10-29,35.0,C,2,506331;515569
הנהלת בתי משפט::cleaning::511685521::2010-01-24,הנהלת בתי משפט,cleaning,"קרן אש (1992 ג.) בע""מ",511685521,2010-01-01,2010-12-31,2010-12-31,0,אינג ש. לוסטיג מהנדסים- יועצים בעמ,2010-12-19,-12.0,A,3,510226;510954;517549
משרד הפנים::cleaning::שמיר י. איתן::2013-04-11,משרד הפנים,cleaning,שמיר י. איתן,,2013-01-01,2013-03-31,2013-03-31,1,"פאוזה שירותי קפה בע""מ",2014-11-13,592.0,A,1,541316
"המרכז הרפואי שיבא תה""ש::cleaning::512686460::2010-01-26","המרכז הרפואי שיבא תה""ש",cleaning,"ג'י אי מדיקל סיסטמס ישראל בע""מ",512686460,2010-01-26,,,0,"סומת אינטגרציה בע""מ",2011-02-15,9.0,C,3,510305;510303;520037
משרד הרווחה::cleaning::512334921::2019-07-17,משרד הרווחה,cleaning,"מזון ושרותים איתן קדוש בע""מ",512334921,2019-07-15,2020-06-30,2020-06-30,3,גופים הנותנים שירותי ניקיון,2020-02-03,-148.0,A,3,636852;638533;639781
"המרכז הרפואי שיבא תה""ש::cleaning::511018913::2011-03-09","המרכז הרפואי שיבא תה""ש",cleaning,"ארדן קונטרול-טק בע""מ",511018913,2011-03-09,,,0,"מיליטק מוצרים אנליטיים בע""מ",2011-03-17,8.0,D,1,520907
שירות בתי הסוהר::cleaning::512271883::2009-11-30,שירות בתי הסוהר,cleaning,"סופטכל שרותי תוכנה (1996) בע""מ",512271883,2009-11-30,,,0,ח.ב.א. סוכנויות בעמ,2009-12-01,1.0,D,1,508587
משרד האוצר::cleaning::510713407::2010-03-15,משרד האוצר,cleaning,"בינת תקשורת מחשבים בע""מ",510713407,2010-03-15,,,0,"ג'יניוס 11 מערכות בע""מ",2010-07-28,135.0,D,1,511490
שירות בתי הסוהר::cleaning::520034620::2010-03-02,שירות בתי הסוהר,cleaning,"מלם - תים בע""מ",520034620,2010-03-02,,,0,"מולטילוק טכנולוגיות בע""מ",2010-06-23,50.0,C,2,511170;512367
שירות בתי הסוהר::cleaning::520039355::2020-11-02,שירות בתי הסוהר,cleaning,"מלם מערכות הנדסיות בע""מ",520039355,2021-01-01,2021-12-31,2021-12-31,0,"קבוצת אלון בע""מ",2023-12-15,714.0,A,1,4000522930
"המרכז הרפואי פדה, פוריה::cleaning::512363904::2009-08-28","המרכז הרפואי פדה, פוריה",cleaning,"ג'יי-סי הלת' קר בע""מ",512363904,2009-08-28,,,0,"שני - טק בע""מ",2009-09-02,5.0,D,1,506400
משרד החינוך::cleaning::510993504::2009-12-08,משרד החינוך,cleaning,"תופ מערכות בע""מ",510993504,2009-12-08,,,0,"היולט-פקרד (ישראל) בע""מ",2009-12-09,1.0,D,1,508898
הלשכה המרכזית לסטטיסטיקה::cleaning::520039355::2009-06-28,הלשכה המרכזית לסטטיסטיקה,cleaning,"מלם מערכות הנדסיות בע""מ",520039355,2009-01-31,2009-07-31,2010-03-31,2,"מלם - תים בע""מ",2009-10-21,-161.0,A,2,505205;506101
לשכת הפרסום הממשלתית::cleaning::חברות לייעוץ תקשורתי::2008-12-31,לשכת הפרסום הממשלתית,cleaning,חברות לייעוץ תקשורתי,,2009-01-01,2009-12-31,2009-12-31,0,,,,C,1,33788
"בי""ח שמיר (אסף הרופא)::cleaning::513149179::2010-02-02","בי""ח שמיר (אסף הרופא)",cleaning,"אלעד פתרונות מחשוב 2001 בע""מ",513149179,2010-03-01,2010-12-31,2010-12-31,0,"אלקטרה בע""מ",2010-07-26,-158.0,A,2,510456;510896
"בי""ח שמיר (אסף הרופא)::cleaning::512841750::2010-02-01","בי""ח שמיר (אסף הרופא)",cleaning,"סי.די.פי פיתוחים רפואיים בע""מ",512841750,2010-02-01,,,0,"אלעד פתרונות מחשוב 2001 בע""מ",2010-02-02,1.0,D,1,510430
משרד התקשורת::cleaning::520027269::2009-11-16,משרד התקשורת,cleaning,מגדל שלום מאיר בעמ,520027269,2010-02-04,2010-04-01,2010-04-01,0,לברוב סופיה,2010-03-04,-28.0,A,2,508079;510025
משטרת ישראל::cleaning::510958481::2020-12-22,משטרת ישראל,cleaning,"מורן טכנולוגיות ניקוי בע""מ",510958481,2020-12-21,2022-12-14,2022-12-14,0,אברט טטיאנה,2024-03-11,453.0,A,1,4000526351
משרד הבריאות::cleaning::511048001::2022-10-27,משרד הבריאות,cleaning,"יונירנט בע""מ",511048001,2022-10-23,2022-12-31,2024-01-01,3,"א.מ שירותים מוניציפליים בע""מ",2024-02-04,34.0,A,3,4000559384;4000559496;4000580125
"המרכז הרפואי שיבא תה""ש::cleaning::580030104::2011-02-27","המרכז הרפואי שיבא תה""ש",cleaning,"יד שרה (ע""ר)",580030104,2011-02-27,,,0,"איי.טי. שיקום בע""מ",2011-03-04,5.0,D,1,520603
"מכס ומע""מ::cleaning::איי.אס.אס. אשמורת::2006-12-14","מכס ומע""מ",cleaning,איי.אס.אס. אשמורת,,2006-12-01,2007-11-30,2008-01-31,2,"ע.מי.ש.ב. שרותים בע""מ",2007-08-20,-164.0,A,2,12364;13172
הנהלת בתי משפט::cleaning::510984578::2010-11-07,הנהלת בתי משפט,cleaning,"תורמט מערכות אלקטרוניות בע""מ",510984578,2010-11-07,,,0,"א.ד.י.אקרו בע""מ",2010-11-10,3.0,D,1,516649
רשות מקרקעי ישראל::cleaning::פירוט בהתאם לטבלה המצב::2018-03-15,רשות מקרקעי ישראל,cleaning,"פירוט בהתאם לטבלה המצ""ב",,2019-01-01,2019-12-31,2019-12-31,0,"טווס שמירה אבטחה ושרותי ניקיון בע""מ",2020-01-20,20.0,A,4,613684;623356;629044;641718
משרד הכלכלה והתעשייה::cleaning::512509753::2014-02-27,משרד הכלכלה והתעשייה,cleaning,"עובד - שרותי ניקיון בע""מ",512509753,2014-04-01,2014-12-31,2016-12-31,3,עובד שירותי ניקיון,2016-10-25,-67.0,A,3,552117;558816;562990
משרד הבריאות::cleaning::511659401::2019-12-19,משרד הבריאות,cleaning,"איירפורט סיטי בע""מ",511659401,2019-12-05,2027-12-01,2027-12-01,0,,,,C,3,644343;4000522237;4000546154
משרד החינוך::cleaning::512667239::2010-05-05,משרד החינוך,cleaning,"סינריון מערכות בע""מ",512667239,2010-05-05,,,0,"מ.י.ה. מחשבים בע""מ",2010-05-10,5.0,D,1,512405
משרד החוץ::cleaning::Professional Maintenance Managemwnt::2017-05-09,משרד החוץ,cleaning,Professional Maintenance Managemwnt,,2017-05-09,,,0,GOM,2017-12-25,230.0,D,1,597443
משרד הרווחה::cleaning::520043340::2009-12-17,משרד הרווחה,cleaning,"אפקון בקרה ואוטומציה בע""מ",520043340,2009-12-17,,,0,חב המשקם לתעסוקת קשישים ובעלי כושר,2010-01-20,34.0,D,1,509184
"המרכז הרפואי שיבא תה""ש::cleaning::520036195::2010-01-13","המרכז הרפואי שיבא תה""ש",cleaning,מדטכניקה בע'מ,520036195,2010-01-13,,,0,"ארדן קונטרול-טק בע""מ",2011-03-09,5.0,C,3,509942;520024;520787
משטרת ישראל::cleaning::אבידר + מיקוד::2014-07-30,משטרת ישראל,cleaning,אבידר + מיקוד,,2014-07-28,2014-12-31,2014-12-31,1,,,,B,1,556310
מרכז למיפוי ישראל::cleaning::510279474::2010-12-07,מרכז למיפוי ישראל,cleaning,דיפל אינג בנימינוביץ ובנו בע'מ,510279474,2010-12-07,,,0,,,,D,1,517987
"המרכז הרפואי שיבא תה""ש::cleaning::514198100::2010-04-29","המרכז הרפואי שיבא תה""ש",cleaning,"גלים (ג) יבוא ושיווק בע""מ",514198100,2010-04-29,,,0,"יד שרה (ע""ר)",2011-02-27,3.0,C,2,512263;520568
מרכז למיפוי ישראל::cleaning::513860098::2010-12-05,מרכז למיפוי ישראל,cleaning,"דרך הנדל""ן בע""מ",513860098,2010-12-05,,,0,"אמקול בע""מ",2010-12-07,2.0,D,1,517878
שירות בתי הסוהר::cleaning::514028067::2010-12-06,שירות בתי הסוהר,cleaning,"ג.ג. רובוטיקה מתקדמת (2007) בע""מ",514028067,2010-12-06,,,0,"אלטל טכנולוגיסטיקה בע""מ",2011-01-11,36.0,D,1,517929
מרכז למיפוי ישראל::cleaning::512986118::2009-12-28,מרכז למיפוי ישראל,cleaning,"מ.י. יוסף מהנדסים ומודדים בע""מ",512986118,2010-01-01,2010-06-30,2010-06-30,2,מדטכניקה בע'מ,2010-02-21,-129.0,A,2,509474;509472
משרד החקלאות ובטחון המזון::cleaning::512236431::2009-11-16,משרד החקלאות ובטחון המזון,cleaning,"בוס-דיימקס בע""מ",512236431,2009-11-16,,,0,"שלג לבן (1986) בע""מ",2009-12-08,22.0,D,1,508082
מרכז למיפוי ישראל::cleaning::58843756::2009-10-28,מרכז למיפוי ישראל,cleaning,לוי רונן,58843756,2009-10-27,2009-11-01,2009-11-01,0,משה שטרן ושות ציוד הנדסה בעמ,2009-11-29,28.0,A,2,507535;508148
משרד החקלאות ובטחון המזון::cleaning::511513053::2009-11-16,משרד החקלאות ובטחון המזון,cleaning,"אגרון -בי. סי. אנד. סי.בע""מ",511513053,2009-11-16,,,0,"שלג לבן (1986) בע""מ",2009-12-08,22.0,D,1,508076
משרד הפנים::cleaning::500500137::2009-09-29,משרד הפנים,cleaning,מכון התקנים הישראלי-עוסק מורשה,500500137,2009-09-29,,,0,"להבות שירותים בע""מ",2009-11-04,36.0,D,1,506983
מרכז למיפוי ישראל::cleaning::Leica-gEOSYSTEMS::2010-06-15,מרכז למיפוי ישראל,cleaning,Leica-gEOSYSTEMS,,2010-06-15,,,0,"קומפיוטרגרד טכנולוגיות 1995 בע""מ",2010-07-01,16.0,D,1,513381
החטיבה להתישבות::cleaning::510041692::2010-05-05,החטיבה להתישבות,cleaning,"גסטטנרטק בע""מ",510041692,2010-06-02,2011-12-31,2011-12-31,0,"קלינור שרותים לישראל בע""מ",2013-12-08,708.0,A,2,512404;513140
משטרת ישראל::cleaning::557638020::2010-05-09,משטרת ישראל,cleaning,עמוס גזית בע'מ,557638020,2010-05-09,,,0,"וובסיו פתרונות מידע בע""מ",2011-01-20,10.0,C,2,512479;519314
"המרכז הרפואי פדה, פוריה::cleaning::514000678::2010-02-12","המרכז הרפואי פדה, פוריה",cleaning,"קוולנט בע""מ",514000678,2010-02-12,,,0,שירותי פלבם - אגודה שיתופית חקלאית,2010-02-15,3.0,D,1,510685
משרד החקלאות ובטחון המזון::cleaning::520036195::2009-11-03,משרד החקלאות ובטחון המזון,cleaning,מדטכניקה בע'מ,520036195,2009-11-03,2010-11-30,2010-11-30,1,טוטנאור בעמ,2010-09-19,-72.0,A,1,507658
שירות בתי הסוהר::cleaning::513349803::2010-03-02,שירות בתי הסוהר,cleaning,"גילתק תקשורת פרוייקטים (2002) בע""מ",513349803,2010-03-02,,,0,"מולטילוק טכנולוגיות בע""מ",2010-06-23,50.0,C,2,511173;512368
"רוה""מ::cleaning::511468845::2010-11-02","רוה""מ",cleaning,"היטאצ'י ונטרה ישראל בע""מ",511468845,2010-11-02,,,0,"שמרד אלקטרוניקה (1977) בע""מ",2010-11-15,13.0,D,1,516516
משרד הרווחה::cleaning::512762584::2009-09-16,משרד הרווחה,cleaning,"סי איי סופטוור ישראל בע""מ",512762584,2009-09-16,,,0,לוג און,2010-10-10,3.0,C,5,506758;508182;508862;515753;515757
