lifecycle_id,buyer,category,incumbent,supplier_company_id,contract_start,original_end,maximum_option_end,extensions,replacement_incumbent,replacement_confirmed_date,lead_time_days,classification,evidence_count,record_ids
"רוה""מ::cleaning::510789464::2009-07-21","רוה""מ",cleaning,"מגאסון אלקטרוניקה ובקרה 1978 בע""מ",510789464,2009-07-09,2010-07-10,2011-05-31,2,"איתוראן בע""מ",2010-12-05,-177.0,A,2,505546;513809
משרד המשפטים::cleaning::512751983::2010-11-16,משרד המשפטים,cleaning,אי.בי.סי. (יד אליהו) ניהול ואחזקה ב,512751983,2010-12-01,2011-06-30,2011-06-30,0,"אחים עאמר, בניה, שיווק והחזקות בע""מ",2011-02-07,-143.0,A,2,517013;519768
"בי""ח שמיר (אסף הרופא)::cleaning::510623036::2011-01-05","בי""ח שמיר (אסף הרופא)",cleaning,ישראליפט שירותים תשלג בעמ,510623036,2011-01-19,2011-12-31,2011-12-31,0,"אלגריסי שרותי הנדסה (1987) בע""מ",2011-08-09,-144.0,A,2,519198;520371
משרד הפנים::cleaning::511129397::2009-08-18,משרד הפנים,cleaning,"מוטורולה תקשורת ישראל בע""מ",511129397,2010-09-01,2011-12-31,2011-12-31,0,"טי אנד אם שירותי ניקיון בע""מ",2013-01-17,383.0,A,2,506198;515872
המרכז הרפואי וולפסון::cleaning::56448392::2010-07-21,המרכז הרפואי וולפסון,cleaning,דואק שרות ושיווק,56448392,2010-07-21,,,0,אקולאב -זהר דליה,2010-08-02,12.0,D,1,514162
משטרת ישראל::cleaning::513841833::2010-02-08,משטרת ישראל,cleaning,"לדיקו מערכות בטיחות וביטחון בע""מ",513841833,2010-02-08,,,0,החברה המאוחדת למזרח הקרוב בישראל בע,2011-02-03,1.0,C,2,510607;519970
משרד המשפטים::cleaning::520040122::2010-10-05,משרד המשפטים,cleaning,"נס א.ט. בע""מ",520040122,2010-01-01,2010-12-31,2010-12-31,0,"מורדוך חיים קבלן לעבודות חשמל בע""מ",2010-10-12,-80.0,A,1,515640
מרכז למיפוי ישראל::cleaning::511103855::2009-09-29,מרכז למיפוי ישראל,cleaning,"גלסיס אלקטרוניקה בע""מ",511103855,2009-09-29,,,0,,,,C,5,506993;507056;513000;516352;518102
מרכז למיפוי ישראל::cleaning::513973271::2010-12-07,מרכז למיפוי ישראל,cleaning,"אמקול בע""מ",513973271,2010-12-07,,,0,,,,D,1,517991
"המרכז הירושלמי לבריה""נ::cleaning::513283838::2011-10-16","המרכז הירושלמי לבריה""נ",cleaning,"א. דינמיקה אחזקות 2002 בע""מ",513283838,2011-10-15,2012-01-14,2022-09-01,4,,,,B,4,525845;4000525489;4000539616;4000549168
"המרכז הרפואי שיבא תה""ש::cleaning::510508260::2011-01-09","המרכז הרפואי שיבא תה""ש",cleaning,דינקו בעמ,510508260,2011-01-09,,,0,"סומת טכנולוגיות בע""מ",2011-01-12,3.0,D,1,519259
המרכז הרפואי וולפסון::cleaning::511581324::2010-07-04,המרכז הרפואי וולפסון,cleaning,"תנה תעשיות חברה בע""מ",511581324,2010-07-04,,,0,"מינץ התקנות ושירותים בע""מ",2010-07-13,9.0,D,1,513777
משרד הפנים::cleaning::512272196::2010-12-01,משרד הפנים,cleaning,"מרכז הכוכביות הארצי בע""מ",512272196,2010-12-01,,,0,עירית ירושלים,2010-12-15,14.0,D,1,517703
"בי""ח שמיר (אסף הרופא)::cleaning::511468597::2009-10-26","בי""ח שמיר (אסף הרופא)",cleaning,"סינאל מלל פייווי בע""מ",511468597,2011-01-01,2011-12-31,2011-12-31,1,"אלגריסי שרותי הנדסה (1987) בע""מ",2011-08-09,-144.0,A,2,507445;519526
משרד המשפטים::cleaning::35758028::2011-01-26,משרד המשפטים,cleaning,"שלומי זנברג, סינק פרוייקטים",35758028,2011-01-23,2011-12-31,2011-12-31,0,"א.א.א. אבירם בע""מ",2011-07-26,-158.0,A,1,519765
משרד האוצר::cleaning::513880211::2009-11-25,משרד האוצר,cleaning,"טופ סולושינס (ל.ה.ב.) בע""מ",513880211,2009-11-25,,,0,"מגאסון אלקטרוניקה ובקרה 1978 בע""מ",2011-02-13,31.0,C,2,508458;519455
מנהל המחקר החקלאי::cleaning::512573197::2010-01-25,מנהל המחקר החקלאי,cleaning,"לבוטל ציוד מדעי (1997) בע""מ",512573197,2010-02-15,2010-12-31,2010-12-31,0,"גטר ביו-מד בע""מ",2010-08-09,-144.0,A,2,510265;510749
שירות בתי הסוהר::cleaning::513456434::2009-11-08,שירות בתי הסוהר,cleaning,ביו - סנס טכנולוגיות (בי. אס. טי.),513456434,2009-11-08,,,0,"רמ - טל בע""מ",2010-11-16,1.0,C,2,507757;516948
מנהל המחקר החקלאי::cleaning::512138488::2013-12-10,מנהל המחקר החקלאי,cleaning,"התאמה השמה ומידע (1995) בע""מ",512138488,2014-02-14,2014-06-30,2014-12-31,2,"טי. אנד. אם. אור אורלי שחקים בע""מ",2014-12-17,-14.0,A,2,549003;556152
מרכז למיפוי ישראל::cleaning::511679557::2009-11-18,מרכז למיפוי ישראל,cleaning,"מונום בע""מ",511679557,2009-11-18,,,0,,,,C,2,508149;517992
"מכס ומע""מ::cleaning::א. דינמיקה::2005-12-14","מכס ומע""מ",cleaning,"""א. דינמיקה""",,2005-12-01,2006-11-30,2006-11-30,1,אחים עובדיה שירותי ניקיון ושמי,2006-06-18,-165.0,A,1,8469
משרד האנרגיה והתשתיות::cleaning::511943995::2015-01-21,משרד האנרגיה והתשתיות,cleaning,"ליטב שערי העיר בע""מ",511943995,2015-01-01,2015-09-30,2015-09-30,1,"או. אר. אס. אחזקות 1987 בהע""מ",2016-01-19,111.0,A,1,563266
רשות מקרקעי ישראל::cleaning::513829382::2018-01-31,רשות מקרקעי ישראל,cleaning,"פ.א.י שיקום מחצבות הצפון בע""מ",513829382,2018-03-01,2018-12-31,2018-12-31,0,"טווס שמירה אבטחה ושרותי ניקיון בע""מ",2020-01-20,385.0,A,2,611562;619793
"המרכז הרפואי שיבא תה""ש::cleaning::513122051::2010-10-24","המרכז הרפואי שיבא תה""ש",cleaning,"מיקי רייכנברג שירותי יעוץ בע""מ",513122051,2010-10-24,,,0,בז'ה את גובי,2010-11-23,30.0,D,1,516161
משרד המשפטים::cleaning::520041880::2010-12-22,משרד המשפטים,cleaning,צילומעתיק בעמ,520041880,2011-01-09,2011-12-31,2011-12-31,0,"א.א.א. אבירם בע""מ",2011-07-26,-158.0,A,2,518695;519302
משרד הבינוי והשיכון::cleaning::557423373::2013-01-29,משרד הבינוי והשיכון,cleaning,כספי את כספי רואי,557423373,2013-01-01,2013-07-31,2013-09-30,2,אילן מעוז,2015-06-23,631.0,A,2,539473;543922
משרד החקלאות ובטחון המזון::cleaning::510214968::2017-06-27,משרד החקלאות ובטחון המזון,cleaning,חברה להדברת עשבי בר בעמ,510214968,2017-06-21,2017-12-31,2017-12-31,1,"א.ע. ביואקולוגיה בע""מ",2017-12-21,-10.0,A,1,599911
משרד האוצר::cleaning::513454694::2009-07-22,משרד האוצר,cleaning,"סיגנוס - מערכות תכנה (2003) בע""מ",513454694,2009-07-22,,,0,"מג'יק תעשיות תוכנה (ישראל) בע""מ",2009-07-28,6.0,D,1,505559
משרד להגנת הסביבה::cleaning::512067000::2010-06-07,משרד להגנת הסביבה,cleaning,"מיחזור עולם בע""מ",512067000,2010-06-06,2010-06-30,2010-06-30,1,"רותם, תעשיות בעמ",2010-06-15,-15.0,A,1,513210
משטרת ישראל::cleaning::א.א.א. אבירם::2019-12-29,משטרת ישראל,cleaning,"א.א.א. אבירם בע""מ",,2020-01-01,2020-03-31,2020-04-30,2,"חו יערית פרויקטים בע""מ",2020-07-02,63.0,A,2,644970;646675
